"fipscounty","AAR_county","AAR_norm","decile","bottom_decile","upper_decile","negative_shock","positive_shock","unaffected","aar_category","quartile","bottom_quartile","upper_quartile"
38057,0.246979522863393,2.60786776991339,10,"0","1",0,1,"0","2",4,"0","1"
38059,-0.00685756486584728,0.485399000768893,8,"0","0",0,0,"1","1",4,"0","1"
38061,0.0618516234120927,1.05991357457598,10,"0","1",0,0,"1","1",4,"0","1"
38063,0.0978124536744888,1.36060146785128,10,"0","1",0,0,"1","1",4,"0","1"
38065,0.837116280852629,7.54231942771208,10,"0","1",0,1,"0","2",4,"0","1"
38067,-0.113807390619809,-0.408866163785632,4,"0","0",0,0,"0","3",2,"0","0"
38069,-0.0335016986921853,0.262613030313581,7,"0","0",0,0,"1","1",3,"0","0"
38071,-0.0251882877509308,0.332125942101704,8,"0","0",0,0,"1","1",3,"0","0"
38073,-0.00219117747105586,0.524417182070827,8,"0","0",0,0,"1","1",4,"0","1"
38075,0.0853437165955855,1.25634363351592,10,"0","1",0,0,"1","1",4,"0","1"
38077,-0.0134412717888472,0.430349076999782,8,"0","0",0,0,"1","1",4,"0","1"
38079,-0.0788860973408649,-0.116870399786969,5,"0","0",0,0,"1","1",2,"0","0"
38081,-0.229992431944338,-1.38035194570618,1,"1","0",1,0,"0","0",1,"1","0"
38083,-0.0303480281297669,0.288982570465425,8,"0","0",0,0,"1","1",3,"0","0"
38085,0.0228228577298652,0.733573018907669,9,"0","0",0,0,"1","1",4,"0","1"
38087,0.047713847721463,0.941700008398688,9,"0","0",0,0,"1","1",4,"0","1"
38089,-0.0254759850980723,0.32972034944487,8,"0","0",0,0,"1","1",3,"0","0"
38091,0.0724624434530354,1.14863636269722,10,"0","1",0,0,"1","1",4,"0","1"
38093,-0.00933580845933493,0.464677069720264,8,"0","0",0,0,"1","1",4,"0","1"
38095,0.234123809470519,2.50037421794453,10,"0","1",0,1,"0","2",4,"0","1"
38097,0.114844189577531,1.50301299589829,10,"0","1",0,0,"0","3",4,"0","1"
38099,0.0464151358980546,0.930840778528217,9,"0","0",0,0,"1","1",4,"0","1"
38101,-0.0295551400598745,0.295612335173287,8,"0","0",0,0,"1","1",3,"0","0"
38103,-0.0562115542867371,0.0727236816671289,6,"0","0",0,0,"1","1",3,"0","0"
38105,0.0395081050121034,0.873087368756255,9,"0","0",0,0,"1","1",4,"0","1"
38999,0.524543558216836,4.92873034261908,10,"0","1",0,1,"0","2",4,"0","1"
39001,-0.103519458613737,-0.32284321663749,4,"0","0",0,0,"0","3",2,"0","0"
39003,-0.0348397958295155,0.251424478595345,7,"0","0",0,0,"1","1",3,"0","0"
39005,-0.205979736468228,-1.17956885026906,1,"1","0",1,0,"0","0",1,"1","0"
39007,-0.129788376362475,-0.542491803137165,3,"0","0",0,0,"0","3",2,"0","0"
39009,-0.116526195654381,-0.431599558763071,4,"0","0",0,0,"0","3",2,"0","0"
39011,-0.227345483211593,-1.35821938001597,1,"1","0",1,0,"0","0",1,"1","0"
39013,0.0340939251064202,0.82781649103251,9,"0","0",0,0,"1","1",4,"0","1"
39015,-0.0519811678594264,0.108096223771603,6,"0","0",0,0,"1","1",3,"0","0"
39017,-0.155171662911619,-0.754735149610916,2,"0","0",1,0,"0","0",1,"1","0"
39019,-0.17280831901552,-0.90220474165335,2,"0","0",1,0,"0","0",1,"1","0"
39021,-0.210880509393221,-1.22054685537863,1,"1","0",1,0,"0","0",1,"1","0"
39023,-0.141688243600503,-0.641993009976653,3,"0","0",0,0,"0","3",1,"1","0"
39025,-0.113712109624642,-0.408069468005893,4,"0","0",0,0,"0","3",2,"0","0"
39027,-0.159520126021556,-0.791094994530279,2,"0","0",1,0,"0","0",1,"1","0"
39029,-0.117331818345629,-0.438335804507084,4,"0","0",0,0,"0","3",2,"0","0"
39031,-0.138172204003092,-0.612593506920032,3,"0","0",0,0,"0","3",1,"1","0"
39033,-0.166576386915411,-0.850096196868836,2,"0","0",1,0,"0","0",1,"1","0"
39035,-0.0860196899339535,-0.17651821416302,5,"0","0",0,0,"1","1",2,"0","0"
39037,-0.115006191561798,-0.418889984900801,4,"0","0",0,0,"0","3",2,"0","0"
39039,-0.237747810106122,-1.44519884451259,1,"1","0",1,0,"0","0",1,"1","0"
39041,-0.0916649611699937,-0.223721371113142,5,"0","0",0,0,"1","1",2,"0","0"
39043,-0.171607778113996,-0.892166371798261,2,"0","0",1,0,"0","0",1,"1","0"
39045,-0.0646747927881544,0.00195798085574839,6,"0","0",0,0,"1","1",3,"0","0"
39047,-0.132865111242999,-0.568218042566036,3,"0","0",0,0,"0","3",1,"1","0"
39049,-0.0362292034242353,0.239806892474318,7,"0","0",0,0,"1","1",3,"0","0"
39051,-0.142087141420414,-0.64532840974985,3,"0","0",0,0,"0","3",1,"1","0"
39053,-0.028707287255848,0.302701689662326,8,"0","0",0,0,"1","1",3,"0","0"
39055,-0.13977575124553,-0.626001630107898,3,"0","0",0,0,"0","3",1,"1","0"
39057,-0.0622667386801987,0.0220930197669959,6,"0","0",0,0,"1","1",3,"0","0"
39059,-0.105821439192266,-0.34209131757031,4,"0","0",0,0,"0","3",2,"0","0"
39061,-0.043202398586433,0.181500247510359,7,"0","0",0,0,"1","1",3,"0","0"
39063,-0.088697470883374,-0.198908584642757,5,"0","0",0,0,"1","1",2,"0","0"
39065,-0.124223136031955,-0.495957827743819,3,"0","0",0,0,"0","3",2,"0","0"
39067,0.162418188457329,1.90080485424718,10,"0","1",0,1,"0","2",4,"0","1"
39069,0.0729530306488742,1.15273842678496,10,"0","1",0,0,"1","1",4,"0","1"
39071,-0.174954282077997,-0.920148296003864,2,"0","0",1,0,"0","0",1,"1","0"
39073,-0.213982819623595,-1.24648694409879,1,"1","0",1,0,"0","0",1,"1","0"
39075,-0.0912853247343806,-0.220547026160534,5,"0","0",0,0,"1","1",2,"0","0"
39077,-0.0728405319770222,-0.0663201677804285,6,"0","0",0,0,"1","1",3,"0","0"
39079,-0.022778885572306,0.352272252958747,8,"0","0",0,0,"1","1",3,"0","0"
39081,-0.146933095603874,-0.685848045801106,2,"0","0",0,0,"0","3",1,"1","0"
39083,-0.134918223999832,-0.585385225442636,3,"0","0",0,0,"0","3",1,"1","0"
39085,-0.13263638673588,-0.566305553625038,3,"0","0",0,0,"0","3",1,"1","0"
39087,-0.0835153819554407,-0.155578344736286,5,"0","0",0,0,"1","1",2,"0","0"
39089,-0.0971093691493482,-0.269245002060984,4,"0","0",0,0,"1","1",2,"0","0"
39091,-0.107805925955147,-0.358684681505714,4,"0","0",0,0,"0","3",2,"0","0"
39093,-0.168361498520614,-0.865022477600209,2,"0","0",1,0,"0","0",1,"1","0"
39095,-0.0879591517360966,-0.192735100122523,5,"0","0",0,0,"1","1",2,"0","0"
39097,-0.185947349954168,-1.01206726439806,2,"0","0",1,0,"0","0",1,"1","0"
39099,-0.0738470880702131,-0.0747365260490381,6,"0","0",0,0,"1","1",3,"0","0"
39101,-0.112426037775312,-0.397315927774649,4,"0","0",0,0,"0","3",2,"0","0"
39103,-0.106722861357065,-0.349628594371409,4,"0","0",0,0,"0","3",2,"0","0"
39105,0.386350089935129,3.77322023512624,10,"0","1",0,1,"0","2",4,"0","1"
39107,-0.0717800566740756,-0.0574529619237563,6,"0","0",0,0,"1","1",3,"0","0"
39109,-0.137588504339773,-0.6077128792819,3,"0","0",0,0,"0","3",1,"1","0"
39111,-0.302067325640684,-1.98300899743331,1,"1","0",1,0,"0","0",1,"1","0"
39113,-0.105892050858773,-0.342681739790476,4,"0","0",0,0,"0","3",2,"0","0"
39115,0.0746638985814809,1.16704391613473,10,"0","1",0,0,"1","1",4,"0","1"
39117,-0.160711187716953,-0.801054103631395,2,"0","0",1,0,"0","0",1,"1","0"
39119,-0.115727985422415,-0.424925292588196,4,"0","0",0,0,"0","3",2,"0","0"
39121,-0.0879998486923221,-0.193075389318876,5,"0","0",0,0,"1","1",2,"0","0"
39123,-0.163526588413156,-0.824595187023797,2,"0","0",1,0,"0","0",1,"1","0"
39125,-0.171857760030598,-0.894256605402753,2,"0","0",1,0,"0","0",1,"1","0"
39127,0.0689662103035034,1.1194024720317,10,"0","1",0,0,"1","1",4,"0","1"
39129,-0.15927646211701,-0.789057589231498,2,"0","0",1,0,"0","0",1,"1","0"
39131,-0.153633373797776,-0.741872684825908,2,"0","0",1,0,"0","0",1,"1","0"
39133,-0.153497419978899,-0.74073590163479,2,"0","0",1,0,"0","0",1,"1","0"
39135,-0.109860337845928,-0.375862727141794,4,"0","0",0,0,"0","3",2,"0","0"
39137,-0.0697623163743874,-0.0405815472355269,6,"0","0",0,0,"1","1",3,"0","0"
39139,-0.179319057025849,-0.956644532995998,2,"0","0",1,0,"0","0",1,"1","0"
39141,-0.217076988172605,-1.27235895583078,1,"1","0",1,0,"0","0",1,"1","0"
39143,-0.0612748525491349,0.0303867145716577,6,"0","0",0,0,"1","1",3,"0","0"
39145,-0.0678125780755654,-0.0242787339458133,6,"0","0",0,0,"1","1",3,"0","0"
39147,-0.114131399561267,-0.411575377263138,4,"0","0",0,0,"0","3",2,"0","0"
39149,-0.259275730513912,-1.62520539571799,1,"1","0",1,0,"0","0",1,"1","0"
39151,-0.115481908292745,-0.42286770901285,4,"0","0",0,0,"0","3",2,"0","0"
39153,-0.0951287451468146,-0.252683936747788,4,"0","0",0,0,"1","1",2,"0","0"
39155,-0.278126718234893,-1.78282866922476,1,"1","0",1,0,"0","0",1,"1","0"
39157,-0.123565659537577,-0.490460312237915,3,"0","0",0,0,"0","3",2,"0","0"
39159,-0.296684979092479,-1.9380042955772,1,"1","0",1,0,"0","0",1,"1","0"
39161,-0.216899514313439,-1.27087500119361,1,"1","0",1,0,"0","0",1,"1","0"
39163,0.323543692444555,3.24806207810226,10,"0","1",0,1,"0","2",4,"0","1"
39165,-0.119867141433986,-0.45953500799175,3,"0","0",0,0,"0","3",2,"0","0"
39167,-0.0910690167698069,-0.218738358627227,5,"0","0",0,0,"1","1",2,"0","0"
39169,-0.138532740752893,-0.615608149100283,3,"0","0",0,0,"0","3",1,"1","0"
39171,-0.23096621624742,-1.38849428136589,1,"1","0",1,0,"0","0",1,"1","0"
39173,-0.141779729856362,-0.642757975894776,3,"0","0",0,0,"0","3",1,"1","0"
39175,-0.172845858806433,-0.90251863208806,2,"0","0",1,0,"0","0",1,"1","0"
39999,0.195007570739721,2.17330225294832,10,"0","1",0,1,"0","2",4,"0","1"
